week,report_date,week_end_date,england,northern_ireland,scotland,wales,uk,n_nations_on_holiday,is_holiday,split
17,4/24/2009,4/26/2009,4.0,10.9,3.0,1.1,7.9,0,False,train
18,5/1/2009,5/3/2009,9.3,34.1,4.0,3.4,8.4,0,False,train
19,5/7/2009,5/10/2009,14.3,15.4,7.0,2.6,9.8,0,False,train
20,5/14/2009,5/17/2009,11.4,21.7,7.0,3.9,8.6,0,False,train
21,5/21/2009,5/24/2009,7.9,17.6,7.0,5.0,6.5,0,False,train
22,5/28/2009,5/31/2009,4.8,14.5,6.0,1.85,4.2,0,False,dev
23,6/3/2009,6/7/2009,6.2,7.9,10.0,0.33,4.4,0,False,train
24,6/10/2009,6/14/2009,6.8,18.1,15.0,0.4,5.8,0,False,dev
25,6/17/2009,6/21/2009,11.1,12.7,32.0,1.7,8.9,0,False,train
26,6/24/2009,6/28/2009,29.6,20.6,27.0,1.43,17.4,0,False,train
27,7/1/2009,7/5/2009,51.9,25.4,15.0,5.1,30.4,0,False,train
28,7/9/2009,7/12/2009,73.4,34.9,25.0,15.8,86.8,1,True,train
29,7/16/2009,7/19/2009,155.3,40.1,29.9,36.0,221.4,1,True,train
30,7/23/2009,7/26/2009,138.2,134.0,33.0,67.5,225.7,3,True,train
31,7/30/2009,8/2/2009,42.0,142.5,29.0,69.9,72.2,3,True,test
32,8/6/2009,8/9/2009,30.9,104.5,29.0,49.4,48.3,3,True,train
33,8/13/2009,8/16/2009,21.1,88.7,22.0,21.8,30.8,3,True,train
34,8/20/2009,8/23/2009,16.6,77.3,27.4,9.5,19.3,2,True,dev
35,8/27/2009,8/30/2009,11.8,55.1,29.2,10.9,14.4,2,True,train
36,9/4/2009,9/6/2009,8.6,61.9,31.9,9.7,10.9,0,False,train
37,9/11/2009,9/13/2009,12.9,107.9,36.9,7.2,14.5,0,False,train
38,9/18/2009,9/20/2009,16.2,142.5,48.6,13.9,17.3,0,False,dev
39,9/25/2009,9/27/2009,22.2,208.3,51.8,22.8,25.0,0,False,test
40,10/1/2009,10/4/2009,26.3,166.3,46.1,54.8,29.6,0,False,test
41,10/8/2009,10/11/2009,29.1,222.6,52.0,62.4,32.0,0,False,train
42,10/15/2009,10/18/2009,39.1,241.1,51.4,66.2,37.4,1,True,train
43,10/22/2009,10/25/2009,42.8,280.6,66.1,60.18,49.2,1,True,train
44,10/29/2009,11/1/2009,37.7,222.0,62.0,59.0,48.5,2,True,train
45,11/5/2009,11/8/2009,36.0,221.0,61.6,65.8,47.2,0,False,dev
46,11/12/2009,11/15/2009,35.9,106.5,56.1,37.0,48.4,0,False,train
47,11/19/2009,11/22/2009,39.2,91.9,55.4,25.2,50.5,0,False,train
48,11/26/2009,11/29/2009,38.6,99.2,50.8,31.9,44.9,0,False,train
49,12/3/2009,12/6/2009,33.1,74.9,51.8,23.6,38.6,0,False,train
50,12/10/2009,12/13/2009,29.7,60.3,48.7,22.7,33.8,0,False,train
51,12/17/2009,12/20/2009,24.7,54.2,53.9,20.28,29.3,0,False,train
52,12/24/2009,12/27/2009,12.7,30.6,52.3,7.5,16.4,3,True,train
53,12/31/2009,1/3/2010,11.2,57.2,51.4,9.9,13.3,3,True,dev
1,1/8/2010,1/10/2010,19.9,48.8,51.8,9.75,19.7,0,False,train
2,1/15/2010,1/17/2010,12.1,36.1,39.5,6.7,14.7,0,False,dev
3,1/22/2010,1/24/2010,12.8,23.2,38.8,4.8,12.8,0,False,train
4,1/29/2010,1/31/2010,12.5,18.1,40.8,3.5,11.2,0,False,train
5,2/4/2010,2/7/2010,12.5,38.7,37.2,5.8,11.2,0,False,dev
6,2/11/2010,2/14/2010,12.0,20.9,34.9,3.7,10.6,0,False,test
7,2/18/2010,2/21/2010,8.0,17.2,31.5,3.4,8.8,2,True,test
8,2/25/2010,2/28/2010,9.0,14.3,33.7,2.4,8.9,0,False,train
9,3/4/2010,3/7/2010,6.3,18.5,33.5,5.2,6.9,0,False,test
10,3/11/2010,3/14/2010,6.2,13.0,33.6,4.1,6.5,0,False,train
11,3/18/2010,3/21/2010,8.2,13.8,38.9,3.2,6.9,0,False,test
12,3/25/2010,3/28/2010,6.2,15.9,34.5,1.0,6.5,0,False,train
13,4/1/2010,4/4/2010,4.3,14.7,24.2,1.8,3.9,1,True,dev
14,4/8/2010,4/11/2010,3.7,8.2,33.7,1.1,3.8,3,True,train
15,4/15/2010,4/18/2010,5.8,12.1,27.9,3.3,4.3,2,True,train
16,4/22/2010,4/25/2010,4.3,8.2,25.4,1.0,3.8,0,False,train
17,4/29/2010,5/2/2010,3.3,6.2,22.7,0.7,3.7,0,False,train
