week,report_date,week_end_date,england,northern_ireland,scotland,wales,uk
17,4/24/2009,4/26/2009,4.0,10.9,3.0,1.1,7.9
18,5/1/2009,5/3/2009,9.3,34.1,4.0,3.4,8.4
19,5/7/2009,5/10/2009,14.3,15.4,7.0,2.6,9.8
20,5/14/2009,5/17/2009,11.4,21.7,7.0,3.9,8.6
21,5/21/2009,5/24/2009,7.9,17.6,7.0,5.0,6.5
23,6/3/2009,6/7/2009,6.2,7.9,10.0,0.33,4.4
25,6/17/2009,6/21/2009,11.1,12.7,32.0,1.7,8.9
26,6/24/2009,6/28/2009,29.6,20.6,27.0,1.43,17.4
27,7/1/2009,7/5/2009,51.9,25.4,15.0,5.1,30.4
28,7/9/2009,7/12/2009,73.4,34.9,25.0,15.8,86.8
29,7/16/2009,7/19/2009,155.3,40.1,29.9,36.0,221.4
30,7/23/2009,7/26/2009,138.2,134.0,33.0,67.5,225.7
32,8/6/2009,8/9/2009,30.9,104.5,29.0,49.4,48.3
33,8/13/2009,8/16/2009,21.1,88.7,22.0,21.8,30.8
35,8/27/2009,8/30/2009,11.8,55.1,29.2,10.9,14.4
36,9/4/2009,9/6/2009,8.6,61.9,31.9,9.7,10.9
37,9/11/2009,9/13/2009,12.9,107.9,36.9,7.2,14.5
41,10/8/2009,10/11/2009,29.1,222.6,52.0,62.4,32.0
42,10/15/2009,10/18/2009,39.1,241.1,51.4,66.2,37.4
43,10/22/2009,10/25/2009,42.8,280.6,66.1,60.18,49.2
44,10/29/2009,11/1/2009,37.7,222.0,62.0,59.0,48.5
46,11/12/2009,11/15/2009,35.9,106.5,56.1,37.0,48.4
47,11/19/2009,11/22/2009,39.2,91.9,55.4,25.2,50.5
48,11/26/2009,11/29/2009,38.6,99.2,50.8,31.9,44.9
49,12/3/2009,12/6/2009,33.1,74.9,51.8,23.6,38.6
50,12/10/2009,12/13/2009,29.7,60.3,48.7,22.7,33.8
51,12/17/2009,12/20/2009,24.7,54.2,53.9,20.28,29.3
52,12/24/2009,12/27/2009,12.7,30.6,52.3,7.5,16.4
1,1/8/2010,1/10/2010,19.9,48.8,51.8,9.75,19.7
3,1/22/2010,1/24/2010,12.8,23.2,38.8,4.8,12.8
4,1/29/2010,1/31/2010,12.5,18.1,40.8,3.5,11.2
8,2/25/2010,2/28/2010,9.0,14.3,33.7,2.4,8.9
10,3/11/2010,3/14/2010,6.2,13.0,33.6,4.1,6.5
12,3/25/2010,3/28/2010,6.2,15.9,34.5,1.0,6.5
14,4/8/2010,4/11/2010,3.7,8.2,33.7,1.1,3.8
15,4/15/2010,4/18/2010,5.8,12.1,27.9,3.3,4.3
16,4/22/2010,4/25/2010,4.3,8.2,25.4,1.0,3.8
17,4/29/2010,5/2/2010,3.3,6.2,22.7,0.7,3.7
