week,report_date,week_end_date,england,northern_ireland,scotland,wales,uk
17,4/24/2009,4/26/2009,4,10.9,3,1.1,7.9
18,5/1/2009,5/3/2009,9.3,34.1,4,3.4,8.4
19,5/7/2009,5/10/2009,14.3,15.4,7,2.6,9.8
20,5/14/2009,5/17/2009,11.4,21.7,7,3.9,8.6
21,5/21/2009,5/24/2009,7.9,17.6,7,5,6.5
22,5/28/2009,5/31/2009,4.8,14.5,6,1.85,4.2
23,6/3/2009,6/7/2009,6.2,7.9,10,0.33,4.4
24,6/10/2009,6/14/2009,6.8,18.1,15,0.4,5.8
25,6/17/2009,6/21/2009,11.1,12.7,32,1.7,8.9
26,6/24/2009,6/28/2009,29.6,20.6,27,1.43,17.4
27,7/1/2009,7/5/2009,51.9,25.4,15,5.1,30.4
28,7/9/2009,7/12/2009,73.4,34.9,25,15.8,86.8
29,7/16/2009,7/19/2009,155.3,40.1,29.9,36,221.4
30,7/23/2009,7/26/2009,138.2,134,33,67.5,225.7
31,7/30/2009,8/2/2009,42,142.5,29,69.9,72.2
32,8/6/2009,8/9/2009,30.9,104.5,29,49.4,48.3
33,8/13/2009,8/16/2009,21.1,88.7,22,21.8,30.8
34,8/20/2009,8/23/2009,16.6,77.3,27.4,9.5,19.3
35,8/27/2009,8/30/2009,11.8,55.1,29.2,10.9,14.4
36,9/4/2009,9/6/2009,8.6,61.9,31.9,9.7,10.9
37,9/11/2009,9/13/2009,12.9,107.9,36.9,7.2,14.5
38,9/18/2009,9/20/2009,16.2,142.5,48.6,13.9,17.3
39,9/25/2009,9/27/2009,22.2,208.3,51.8,22.8,25
40,10/1/2009,10/4/2009,26.3,166.3,46.1,54.8,29.6
