nation,holiday,start_date,end_date
Scotland,summer,2009-07-03,2009-08-16
Scotland,autumn,2009-10-12,2009-10-23
Scotland,christmas,2009-12-23,2010-01-06
Scotland,spring,2010-03-29,2010-04-09
England,summer,2009-07-21,2009-09-02
England,autumn half-term,2009-10-26,2009-11-01
England,christmas,2009-12-19,2010-01-03
England,february half-term,2010-02-13,2010-02-21
England,spring,2010-04-02,2010-04-18
England,may half-term,2010-05-29,2010-06-06
Wales,summer,2009-07-21,2009-09-02
Wales,autumn half-term,2009-10-26,2009-11-01
Wales,christmas,2009-12-19,2010-01-03
Wales,february half-term,2010-02-13,2010-02-21
Wales,spring,2010-04-02,2010-04-18
Wales,may half-term,2010-05-29,2010-06-06
