#{"t_start": 1784721730.3729506, "env_id": "None"}
r,l,t
0.0,43,0.575284
0.0,43,1.172129
0.0,43,1.769971
0.0,43,2.650749
0.0,43,3.269538
0.0,43,3.852327
0.0,43,4.586747
0.0,43,5.151831
0.0,43,5.728045
0.0,43,6.450985
0.0,43,7.045745
0.0,43,7.625803
0.0,43,8.359462
0.0,43,8.923156
0.0,43,9.535285
0.0,43,10.243039
0.0,43,10.793238
0.0,43,11.277302
0.0,43,11.923995
0.0,43,12.406087
0.0,43,12.937416
0.0,43,13.685865
-0.0,43,14.266148
0.0,43,14.814723
0.0,43,15.553583
0.0,43,16.164866
0.0,43,16.74401
0.0,43,17.478531
0.0,43,18.063124
0.0,43,18.689749
0.0,43,19.435971
0.0,43,19.998776
0.0,43,20.585496
0.0,43,21.304963
0.0,43,21.803954
0.0,43,22.317903
0.0,43,22.950007
0.0,43,23.486033
0.0,43,24.0607
0.0,43,24.77688
0.0,43,25.37297
0.0,43,25.9535
0.0,43,26.693866
0.0,43,27.276055
0.0,43,27.870737
0.0,43,28.585798
0.0,43,29.167341
0.0,43,29.762327
0.0,43,30.502469
0.0,43,31.074053
0.0,43,31.655002
0.0,43,32.410317
0.0,43,32.989808
0.0,43,33.603353
-0.0,43,34.336584
0.0,43,34.905136
0.0,43,35.510065
0.0,43,36.239375
0.0,43,36.714679
0.0,43,37.188864
-0.0,43,37.80284
0.0,43,38.36422
0.0,43,38.977666
0.0,43,39.72457
0.0,43,40.320749
0.0,43,40.869477
0.0,43,41.625282
0.0,43,42.198065
0.0,43,42.762455
0.0,43,43.469555
0.0,43,43.970417
0.0,43,44.471603
0.0,43,45.135123
0.0,43,45.66469
0.0,43,46.248332
0.0,43,46.986274
0.0,43,47.539929
-0.0,43,48.08909
0.0,43,48.765835
-0.0,43,49.263675
0.0,43,49.753998
-0.0,43,50.395506
0.0,43,50.991074
0.0,43,51.555973
-0.0,43,52.285725
0.0,43,52.867229
0.0,43,53.431954
0.0,43,54.157735
0.0,43,54.735926
0.0,43,55.204927
0.0,43,55.847577
0.0,43,56.319181
0.0,43,56.866578
0.0,43,57.60251
0.0,43,58.178724
0.0,43,58.743176
-0.0,43,59.481821
-0.0,43,60.061742
-0.0,43,60.627807
-0.0,43,61.396476
0.0,43,61.987553
0.0,43,62.568759
0.0,43,63.2949
0.0,43,63.855131
0.0,43,64.435291
0.0,43,65.182465
0.0,43,65.699754
0.0,43,66.168549
0.0,43,66.796634
0.0,43,67.281967
-0.0,43,67.830751
0.0,43,68.585392
0.0,43,69.177681
-0.0,43,69.770457
0.0,43,70.494923
0.0,43,71.073105
0.0,43,71.639469
0.0,43,72.446832
-0.0,43,73.019986
0.0,43,73.614082
0.0,43,74.350651
0.0,43,74.946117
0.0,43,75.531661
-0.0,43,76.264205
0.0,43,76.845623
0.0,43,77.404191
0.0,43,78.261473
0.0,43,78.906977
