#{"t_start": 1784734403.7103105, "env_id": "None"}
r,l,t
0.0,43,0.620436
0.0,43,1.167484
0.0,43,1.828557
0.0,43,2.551641
0.0,43,3.162863
0.0,43,3.744697
0.0,43,4.479054
0.0,43,4.983444
0.0,43,5.469223
0.0,43,6.137223
0.0,43,6.62321
0.0,43,7.171228
0.0,43,7.894042
0.0,43,8.473707
0.0,43,9.039397
0.0,43,9.747166
0.0,43,10.320373
0.0,43,10.884324
0.0,43,11.612922
0.0,43,12.139401
0.0,43,12.617717
0.0,43,13.237154
0.0,43,13.716608
0.0,43,14.258308
0.0,43,14.994223
0.0,43,15.558546
0.0,43,16.107724
0.0,43,16.823479
0.0,43,17.387889
0.0,43,17.87177
0.0,43,18.500199
0.0,43,18.969808
0.0,43,19.520467
0.0,43,20.248775
0.0,43,20.805848
0.0,43,21.371156
0.0,43,22.123511
0.0,43,22.683368
0.0,43,23.233385
0.0,43,23.953498
0.0,43,24.456441
0.0,43,24.95667
0.0,43,25.600685
0.0,43,26.116764
0.0,43,26.690224
0.0,43,27.397859
0.0,43,28.009052
0.0,43,28.532058
0.0,43,29.186246
0.0,43,29.65905
0.0,43,30.134147
0.0,43,30.8652
0.0,43,31.41303
0.0,43,31.976354
0.0,43,32.709621
0.0,43,33.237104
0.0,43,33.710584
0.0,43,34.338323
0.0,43,34.80781
0.0,43,35.356861
0.0,43,36.080204
0.0,43,36.644224
0.0,43,37.206996
0.0,43,37.924711
0.0,43,38.505439
0.0,43,39.069724
0.0,43,39.793617
0.0,43,40.3091
0.0,43,40.79406
0.0,43,41.436271
0.0,43,41.906697
0.0,43,42.456676
0.0,43,43.187734
0.0,43,43.752498
0.0,43,44.301185
0.0,43,45.026388
0.0,43,45.52489
0.0,43,46.010811
0.0,43,46.651672
0.0,43,47.138435
0.0,43,47.702699
0.0,43,48.426293
0.0,43,48.975457
0.0,43,49.516538
0.0,43,50.156169
0.0,43,50.614055
0.0,43,51.090708
0.0,43,51.840743
0.0,43,52.43486
0.0,43,52.982375
0.0,43,53.72569
0.0,43,54.360097
0.0,43,54.924039
0.0,43,55.631056
0.0,43,56.261709
0.0,43,56.854255
0.0,43,57.571353
0.0,43,58.03977
0.0,43,58.49975
0.0,43,59.154794
0.0,43,59.669797
0.0,43,60.281506
0.0,43,61.004005
0.0,43,61.56953
0.0,43,62.118298
0.0,43,62.834123
0.0,43,63.399222
0.0,43,63.869643
0.0,43,64.526736
0.0,43,65.060829
0.0,43,65.593566
0.0,43,66.316616
0.0,43,66.88024
0.0,43,67.429819
0.0,43,68.172699
0.0,43,68.725233
0.0,43,69.274106
0.0,43,69.919682
0.0,43,70.374357
0.0,43,70.856308
0.0,43,71.579408
0.0,43,72.143346
0.0,43,72.708066
0.0,43,73.425066
0.0,43,73.977744
0.0,43,74.537507
0.0,43,75.245384
0.0,43,75.730078
0.0,43,76.198713
0.0,43,76.859717
0.0,43,77.37606
0.0,43,77.940412
0.0,43,78.679613
0.0,43,79.237343
0.0,43,79.816988
0.0,43,80.540217
0.0,43,81.124082
0.0,43,81.670171
0.0,43,82.401847
0.0,43,82.966319
0.0,43,83.513651
0.0,43,84.142636
0.0,43,84.62695
0.0,43,85.09641
0.0,43,85.819889
0.0,43,86.36814
0.0,43,86.931896
0.0,43,87.654489
0.0,43,88.157675
0.0,43,88.626415
0.0,43,89.270305
0.0,43,89.755715
0.0,43,90.304296
0.0,43,91.054275
0.0,43,91.6508
0.0,43,92.260379
0.0,43,92.995616
0.0,43,93.539831
0.0,43,94.120573
0.0,43,94.844221
0.0,43,95.408294
0.0,43,95.908887
0.0,43,96.552628
0.0,43,97.037654
0.0,43,97.538744
0.0,43,98.276603
0.0,43,98.836247
0.0,43,99.431534
0.0,43,100.139266
0.0,43,100.719005
0.0,43,101.283415
0.0,43,102.014568
0.0,43,102.56408
0.0,43,103.128604
0.0,43,103.851658
0.0,43,104.337322
0.0,43,104.821625
0.0,43,105.449711
0.0,43,105.94936
0.0,43,106.514975
0.0,43,107.238
0.0,43,107.787611
0.0,43,108.374588
0.0,43,109.113691
0.0,43,109.663601
0.0,43,110.228374
0.0,43,110.952069
0.0,43,111.533261
0.0,43,112.088805
0.0,43,112.829619
0.0,43,113.297913
0.0,43,113.781782
0.0,43,114.427467
0.0,43,114.975008
0.0,43,115.538863
0.0,43,116.264283
0.0,43,116.840831
0.0,43,117.432568
0.0,43,118.186936
0.0,43,118.752343
0.0,43,119.315706
0.0,43,120.08044
0.0,43,120.677029
0.0,43,121.19271
0.0,43,121.836055
0.0,43,122.293218
0.0,43,122.775176
0.0,43,123.482031
0.0,43,124.04723
0.0,43,124.610407
0.0,43,125.330933
0.0,43,125.819823
0.0,43,126.288554
0.0,43,126.932278
0.0,43,127.427742
0.0,43,127.975227
0.0,43,128.697857
0.0,43,129.277548
0.0,43,129.843018
0.0,43,130.566309
0.0,43,131.098222
0.0,43,131.551652
0.0,43,132.208472
0.0,43,132.681723
0.0,43,133.229028
0.0,43,133.961411
0.0,43,134.526251
0.0,43,135.07434
0.0,43,135.796624
0.0,43,136.347364
0.0,43,136.847037
0.0,43,137.473963
0.0,43,137.958447
0.0,43,138.476439
0.0,43,139.193526
0.0,43,139.756935
0.0,43,140.321695
0.0,43,141.07773
0.0,43,141.608676
0.0,43,142.115697
0.0,43,142.746721
0.0,43,143.221766
0.0,43,143.758878
0.0,43,144.487505
0.0,43,145.068385
0.0,43,145.617341
0.0,43,146.340114
0.0,43,146.904202
0.0,43,147.516419
0.0,43,148.21687
0.0,43,148.742688
0.0,43,149.202754
