#{"t_start": 1785313489.3772306, "env_id": "None"}
r,l,t
0.0,43,0.191545
0.0,43,0.341991
0.0,43,0.492733
0.0,43,0.695487
0.0,43,0.846947
0.0,43,0.99834
0.0,43,1.201515
0.0,43,1.352914
0.0,43,1.504178
0.0,43,1.708983
0.0,43,1.860733
0.0,43,2.012284
0.0,43,2.21512
0.0,43,2.368405
0.0,43,2.519706
0.0,43,2.724348
0.0,43,2.876565
0.0,43,3.029058
0.0,43,3.232926
0.0,43,3.384807
0.0,43,3.536638
0.0,43,3.739806
0.0,43,3.891314
0.0,43,4.042848
0.0,43,4.245599
0.0,43,4.396272
0.0,43,4.547295
0.0,43,4.750779
0.0,43,4.902161
0.0,43,5.053513
0.0,43,5.256498
0.0,43,5.407185
0.0,43,5.558499
0.0,43,5.762705
0.0,43,5.914239
0.0,43,6.065516
0.0,43,6.268808
0.0,43,6.420195
0.0,43,6.571604
0.0,43,6.775988
0.0,43,6.927661
0.0,43,7.079139
0.0,43,7.281982
0.0,43,7.433062
0.0,43,7.583888
0.0,43,7.78708
0.0,43,7.938416
0.0,43,8.090253
0.0,43,8.310525
0.0,43,8.461266
0.0,43,8.611982
0.0,43,8.81499
0.0,43,8.966311
0.0,43,9.117679
0.0,43,9.320233
0.0,43,9.471959
0.0,43,9.623735
0.0,43,9.82683
0.0,43,9.978252
0.0,43,10.129591
0.0,43,10.333003
0.0,43,10.48451
0.0,43,10.636318
0.0,43,10.839572
0.0,43,10.991502
0.0,43,11.143119
0.0,43,11.347033
0.0,43,11.499283
0.0,43,11.651757
0.0,43,11.855504
0.0,43,12.007934
0.0,43,12.160058
0.0,43,12.362697
0.0,43,12.514196
0.0,43,12.66556
0.0,43,12.868341
0.0,43,13.020977
0.0,43,13.172935
0.0,43,13.375888
0.0,43,13.527045
0.0,43,13.677955
0.0,43,13.880999
0.0,43,14.032349
0.0,43,14.183892
0.0,43,14.386823
0.0,43,14.538415
0.0,43,14.689563
0.0,43,14.891962
0.0,43,15.04327
0.0,43,15.194965
0.0,43,15.397919
0.0,43,15.548985
0.0,43,15.700084
0.0,43,15.902781
0.0,43,16.053699
0.0,43,16.204465
0.0,43,16.410028
0.0,43,16.561818
0.0,43,16.713811
0.0,43,16.917304
0.0,43,17.069208
0.0,43,17.220882
0.0,43,17.423868
0.0,43,17.575126
0.0,43,17.726698
0.0,43,17.929909
0.0,43,18.081238
0.0,43,18.232508
0.0,43,18.435549
0.0,43,18.586477
0.0,43,18.738014
0.0,43,18.94067
0.0,43,19.091942
0.0,43,19.243095
0.0,43,19.446173
0.0,43,19.599825
0.0,43,19.751724
0.0,43,19.955619
0.0,43,20.106723
0.0,43,20.257818
0.0,43,20.460589
0.0,43,20.611994
0.0,43,20.763162
0.0,43,20.966864
0.0,43,21.118814
0.0,43,21.270751
0.0,43,21.474308
0.0,43,21.62568
0.0,43,21.777052
0.0,43,21.979932
0.0,43,22.131643
0.0,43,22.282929
0.0,43,22.487202
0.0,43,22.639426
0.0,43,22.792852
0.0,43,22.996413
0.0,43,23.148569
0.0,43,23.300264
0.0,43,23.502961
0.0,43,23.654363
0.0,43,23.805819
0.0,43,24.009871
0.0,43,24.162152
0.0,43,24.314456
0.0,43,24.518409
0.0,43,24.670308
0.0,43,24.822148
0.0,43,25.025554
0.0,43,25.17689
0.0,43,25.328599
0.0,43,25.530899
0.0,43,25.68197
0.0,43,25.832405
0.0,43,26.037317
0.0,43,26.188582
0.0,43,26.340238
0.0,43,26.543511
0.0,43,26.695054
0.0,43,26.846503
0.0,43,27.049952
0.0,43,27.201498
0.0,43,27.352279
0.0,43,27.554047
0.0,43,27.705328
0.0,43,27.856731
0.0,43,28.059218
0.0,43,28.210122
0.0,43,28.361011
0.0,43,28.563537
0.0,43,28.71383
0.0,43,28.864241
0.0,43,29.06621
0.0,43,29.21713
0.0,43,29.367604
0.0,43,29.570789
0.0,43,29.722686
0.0,43,29.874116
0.0,43,30.076864
0.0,43,30.227311
0.0,43,30.378501
0.0,43,30.58222
0.0,43,30.734205
0.0,43,30.886348
0.0,43,31.089049
0.0,43,31.240328
0.0,43,31.391959
0.0,43,31.595037
0.0,43,31.746453
0.0,43,31.897752
0.0,43,32.100351
0.0,43,32.251856
0.0,43,32.40301
0.0,43,32.604976
0.0,43,32.75511
0.0,43,32.905403
0.0,43,33.107211
0.0,43,33.25761
0.0,43,33.408835
0.0,43,33.612073
0.0,43,33.763315
0.0,43,33.914723
0.0,43,34.119044
0.0,43,34.270555
0.0,43,34.421671
0.0,43,34.625532
0.0,43,34.776736
0.0,43,34.928293
0.0,43,35.131172
0.0,43,35.282538
0.0,43,35.434015
0.0,43,35.636911
0.0,43,35.788375
0.0,43,35.939801
0.0,43,36.142415
0.0,43,36.29372
0.0,43,36.445209
0.0,43,36.64987
0.0,43,36.801614
0.0,43,36.953091
0.0,43,37.156214
0.0,43,37.307529
0.0,43,37.459206
0.0,43,37.662546
0.0,43,37.813634
0.0,43,37.964869
0.0,43,38.168685
0.0,43,38.319448
0.0,43,38.470585
0.0,43,38.673943
0.0,43,38.825366
0.0,43,38.976864
0.0,43,39.181067
0.0,43,39.332458
0.0,43,39.483642
0.0,43,39.685864
0.0,43,39.836663
0.0,43,39.987794
0.0,43,40.192803
0.0,43,40.3447
0.0,43,40.496299
0.0,43,40.698651
0.0,43,40.849014
0.0,43,40.999424
0.0,43,41.201624
0.0,43,41.352153
0.0,43,41.502954
0.0,43,41.706431
0.0,43,41.860275
0.0,43,42.012263
0.0,43,42.215574
0.0,43,42.366532
0.0,43,42.517943
