#{"t_start": 1784808968.9890618, "env_id": "None"}
r,l,t
-4.462591,43,7.28039
-4.51526,43,7.759898
-4.340818,43,8.161536
-4.53041,43,9.191523
-4.483833,43,9.560699
-4.50994,43,9.904985
-4.538126,43,10.57262
-4.385891,43,11.093181
-4.448025,43,11.492078
-4.411633,43,12.143985
-4.468102,43,12.563305
-4.405414,43,13.02645
-4.408374,43,13.651923
-4.529105,43,14.025403
-4.423118,43,14.41759
-4.484646,43,14.930291
-4.376978,43,15.288405
-4.336976,43,15.619446
-4.309764,43,16.136637
-4.50594,43,16.465179
-4.474213,43,16.811168
-4.553358,43,17.335593
-4.545675,43,17.759276
-4.389098,43,18.088055
-4.52306,43,18.650687
-4.529324,43,19.034706
-4.449718,43,19.389276
-4.530406,43,19.97308
-4.41304,43,20.323852
-4.331889,43,20.701296
-4.542501,43,21.324443
-4.442894,43,21.725083
-4.563215,43,22.127945
-4.499419,43,22.662765
-4.370535,43,23.061684
-4.371314,43,23.426155
-4.413589,43,23.979775
-4.393995,43,24.354832
-4.526467,43,24.684908
-4.449187,43,25.27654
-4.515797,43,25.620747
-4.463639,43,25.950816
-4.472878,43,26.499501
-4.524594,43,26.836573
-4.360845,43,27.184449
-4.526233,43,27.709684
-4.527196,43,28.055339
-4.587151,43,28.400324
-4.512077,43,28.965526
-4.504996,43,29.329855
-4.47071,43,29.667301
-4.437886,43,30.189257
-4.582993,43,30.515983
-4.454486,43,30.891327
-4.354892,43,31.438492
-4.462803,43,31.79465
-4.450032,43,32.136623
-4.476422,43,32.643138
-4.505268,43,33.024553
-4.432336,43,33.372102
-4.463444,43,33.95463
-4.474281,43,34.31054
-4.499147,43,34.680756
-4.545782,43,35.307098
-4.581139,43,35.651544
-4.53475,43,36.027282
-4.546909,43,36.677731
-4.427064,43,37.059884
-4.523168,43,37.528557
-4.482468,43,38.147998
-4.529005,43,38.551847
-4.515538,43,38.983678
-4.483021,43,39.733931
-4.451103,43,40.155731
-4.542919,43,40.563339
-4.56915,43,41.351912
-4.572329,43,41.930355
-4.382871,43,42.545695
-4.526009,43,43.461356
-4.493283,43,43.924644
-4.456754,43,44.447067
-4.590426,43,45.333701
-4.561374,43,45.858814
-4.521016,43,46.338187
-4.497586,43,47.05731
-4.580314,43,47.495212
-4.578503,43,47.856386
-4.578828,43,48.459971
-4.629588,43,48.821149
-4.441927,43,49.170465
-4.595922,43,49.764136
-4.502547,43,50.14399
-4.488647,43,50.486256
-4.513644,43,51.114345
-4.469478,43,51.529087
-4.493886,43,51.926164
-4.623776,43,52.647247
-4.538567,43,53.046956
-4.440402,43,53.374892
-4.531865,43,53.963676
-4.297206,43,54.355397
-4.437545,43,54.749853
-4.51628,43,55.366328
-4.580422,43,55.712732
-4.472716,43,56.065358
-4.454409,43,56.59123
-4.444046,43,56.989647
-4.530279,43,57.401516
-4.556568,43,58.04566
-4.452911,43,58.516468
-4.52511,43,58.895414
-4.458419,43,59.495809
-4.600358,43,59.85498
-4.430692,43,60.187679
-4.5071,43,60.736534
-4.52854,43,61.107914
-4.485975,43,61.47162
-4.499235,43,62.083001
-4.472853,43,62.494513
-4.554029,43,62.847323
-4.56766,43,63.548441
-4.423263,43,63.938683
-4.564103,43,64.305703
-4.466384,43,64.892595
-4.452119,43,65.261773
-4.502196,43,65.653192
-4.407098,43,66.241019
-4.494193,43,66.604587
-4.531086,43,66.967095
-4.551808,43,67.587921
-4.628889,43,67.942382
-4.366948,43,68.332929
-4.573519,43,68.910116
-4.499607,43,69.265754
-4.528071,43,69.604174
-4.477032,43,70.15427
-4.429454,43,70.530651
-4.597592,43,70.928105
-4.507165,43,71.550006
-4.481113,43,71.891681
-4.394358,43,72.285074
-4.507326,43,72.842245
-4.497819,43,73.247477
-4.407884,43,73.578601
-4.566938,43,74.207296
-4.438024,43,74.552575
-4.514682,43,74.896374
-4.593559,43,75.492332
-4.51535,43,75.830776
-4.608458,43,76.179754
-4.518028,43,76.81177
-4.489522,43,77.177113
-4.272441,43,77.53132
-4.551351,43,78.091083
-4.466392,43,78.430295
-4.592708,43,78.792526
-4.544734,43,79.360844
-4.534052,43,79.72527
-4.601267,43,80.217746
-4.474018,43,80.774655
-4.506724,43,81.150583
-4.506915,43,81.523437
-4.496511,43,82.094998
-4.516993,43,82.435027
-4.595361,43,82.779037
-4.654443,43,83.355387
-4.524725,43,83.699851
-4.400826,43,84.052042
-4.526217,43,84.591084
-4.504484,43,84.93627
-4.602822,43,85.301567
-4.597266,43,85.799005
-4.512242,43,86.166558
-4.444705,43,86.50486
-4.473184,43,87.046452
-4.541241,43,87.550174
-4.522151,43,87.885192
-4.525315,43,88.434925
-4.456136,43,88.763086
-4.564839,43,89.116967
-4.541835,43,89.718389
-4.393861,43,90.065825
-4.408387,43,90.403986
-4.573747,43,90.982541
-4.55757,43,91.364298
-4.489006,43,91.710253
-4.555972,43,92.306757
-4.532729,43,92.685808
-4.542539,43,93.044359
-4.611548,43,93.866189
-4.537917,43,94.209082
-4.626865,43,94.560643
-4.533027,43,95.318674
-4.516234,43,95.779101
-4.451788,43,96.179924
-4.600539,43,96.903894
-4.49008,43,97.358407
-4.559009,43,97.743265
-4.637172,43,98.401671
-4.608033,43,98.812451
-4.594898,43,99.227971
-4.621385,43,99.820714
-4.593811,43,100.175646
-4.596685,43,100.559639
-4.579066,43,101.159719
-4.548312,43,101.548884
-4.591932,43,102.014611
-4.569116,43,102.653897
-4.610806,43,103.043721
-4.612555,43,103.412558
-4.563326,43,104.057211
-4.655216,43,104.425034
-4.587972,43,104.793456
-4.551731,43,105.646373
-4.527938,43,106.204652
-4.458862,43,106.664189
-4.520768,43,107.354594
-4.392764,43,107.783317
-4.678606,43,108.263153
-4.552537,43,108.967476
-4.508408,43,109.327408
-4.459961,43,109.718891
-4.552485,43,110.363884
-4.460276,43,110.762727
-4.516214,43,111.110901
-4.599457,43,111.744791
-4.520846,43,112.078629
-4.471036,43,112.426835
-4.577867,43,113.013757
-4.566984,43,113.359595
-4.522446,43,113.709872
-4.566002,43,114.287985
-4.420033,43,114.616193
-4.573602,43,114.974404
-4.584805,43,115.532312
-4.597074,43,115.892307
-4.514841,43,116.242557
-4.539908,43,116.789265
-4.516101,43,117.140554
-4.479882,43,117.50509
-4.48903,43,118.096677
-4.547835,43,118.440438
-4.61326,43,118.782122
-4.52841,43,119.305228
-4.554685,43,119.632494
-4.592645,43,120.001826
-4.639677,43,120.553854
-4.556371,43,120.904396
-4.644339,43,121.24328
-4.568572,43,121.818228
-4.522823,43,122.178199
-4.547006,43,122.5323
